Arbutus unedo
Cistus albidus
Cistus clusii
Cistus crispus
Cistus libanotis
Cistus salviifolius
Coris monspeliensis
Coronilla juncea
Crataegus monogyna
Daphne gnidium
Ephedra fragilis
Halimium halimifolium
Hedera helix
Helianthemum syriacum
Ilex aquifolium
Jasminum fruticans
Juniperus oxycedrus
Lonicera arborea
Lonicera biflora
Lonicera periclymeum
Mirtus communis
Phillyrea angystilofia
Pistacia lentiscus
Piscatia terebinthus
Punica granatum
Quercus coccifera
Rhamnus alaternus
Rhamnus lycioides
Rhamnus oleoides
Rubus ulmifolius
Ruscus aculeatus
Viburnum tinus
